"BC
Cutoff ↑↓",,"OC
Cutoff ↑↓",,"MBC
Cutoff ↑↓","SC
Cutoff ↑↓","ST
Cutoff ↑↓",,Department         ↑↓,College Name              ↑↓,"Councelling
Code             ↑↓"
,,,,,,,,,,
192,,194,,191,190,,,"CHEMICAL AND ELECTRO
CHEMICAL
ENGINEERING (SS)","Central Electrochemical Research Institute CECRI) Karaikudi Sivagangai
District 630006",5012
191.5,,192.5,,189.5,176.5,,,"Artificial
Intelligence and Data Science","Kumaraguru College of Technology
(Autonomous),
Chinnavedampatti, Coimbatore-641049.",2712
191.5,,193,,190,172,140,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Kumaraguru College of Technology
(Autonomous),
Chinnavedampatti, Coimbatore-641049.",2712
191.5,,192.5,,189.5,175,168.5,,INFORMATION TECHNOLOGY,"Kumaraguru College of Technology
(Autonomous),
Chinnavedampatti, Coimbatore-641049.",2712
191.5,,193,,190.5,179,161,,"Computer Science and Engineering (Artificial
Intelligence and Machine Learning) (SS)","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
191.5,,193.5,,189.5,179.5,157.5,,"INFORMATION
TECHNOLOGY (SS)","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
191,,194,,188.5,172,140,,"COMPUTER
SCIENCE AND ENGINEERING","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
191,,193,,190,187,185.5,,"COMPUTER
SCIENCE AND ENGINEERING","Prince Shri Venkateshwaraa
Padmavathy Engineering College (Autonomous), Medavakkam -
Mambakkam Road,
Ponmar, Kanchipuram, Chennai-600127.",1414
191,,192.5,,191,180.57,,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","Government College of Technology (Autonomous)
Thadagam Road
Coimbatore District 641013",2005
191,,193,,190,179.5,181,,MECHANICAL ENGINEERING,"PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
191,,193,,188.5,175.5,,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","PSG Institute of
Technology and Applied Research, Avinashi
Road,Neelambur, Sulur,Coimbatore
-641062.",2377
191,,193,,191.5,181,169,,"COMPUTER
SCIENCE AND ENGINEERING",Government College of Engineering (Autonomous) Karuppur Salem District 636011,2615
191,,192.5,,190.5,179.5,,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
190.5,,192.5,,189.5,181.5,159,,"CHEMICAL
ENGINEERING",University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,2
190.5,,192,,189.5,175.5,159.5,,MECHANICAL ENGINEERING,"Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
190.5,,193,,189,176,143.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
190.5,,192,,188.5,185,,,"Artificial
Intelligence and Data Science","Prince Dr. K. Vasudevan College of Engineering and Technology, Medavakkam-
Mambakkam Road, Ponmar, Chennai- 600127.",1442
,,,,,,,,,,
190.5,,192,,189.5,176.5,,,"ELECTRICAL AND ELECTRONICS
ENGINEERING (SS)","Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
190,,191,,187.5,170,128,,INFORMATION TECHNOLOGY,"Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
190,,191.5,,187.5,177,,,CIVIL ENGINEERING,"PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
190,,191.5,,190.5,177.5,169,,ELECTRONICS AND COMMUNICATION ENGINEERING,Government College of Engineering (Autonomous) Karuppur Salem District 636011,2615
190,,192,,188,169.5,160.5,,"COMPUTER
SCIENCE AND ENGINEERING","Sri Krishna College of Engineering and
Technology
(Autonomous), Sugunapuram,
Kuniamuthur Post,
Coimbatore-641008.",2718
190,,191.5,,187,175,140.5,,"Computer Science and Business
System (SS)","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
190,,190.5,,187,174.5,,,"ELECTRICAL AND ELECTRONICS
ENGINEERING (SS)","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
189.5,,191.5,,187,176.5,140,,"Artificial
Intelligence and Data Science","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
189.5,,191,,188.5,180,121,,"INSTRUMENTATION AND CONTROL
ENGINEERING (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
,,,,,,,,,,
189.5,,190,,188,175.5,,,"MECHANICAL
ENGINEERING (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
189,,191.5,,187.5,179.5,,,AUTOMOBILE ENGINEERING,"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
189,,191,,187,167,,,BIO MEDICAL ENGINEERING,"Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
189,,190.5,,186.5,171.5,142.5,,"COMPUTER
SCIENCE AND
ENGINEERING (AI AND MACHINE LEARNING)","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
189,,190,,187.5,170.5,138.5,,"COMPUTER
SCIENCE AND BUSSINESS SYSTEM","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
189,,190.5,,186.5,174,,,Computer Science and Engineering (Cyber Security),"Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
189,,191,,189,175.5,,,"COMPUTER
SCIENCE AND ENGINEERING","Alagappa Chettair
Government College of Engineering and
Technology (Autonomous) Karaikudi Sivagangai District 630004",5901
188.5,,189.5,,187,170,,,"Electronics and Communication (Advanced
Communication Technology)","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
,,,,,,,,,,
188.5,,192,,188,121,,,INFORMATION TECHNOLOGY,"Prince Shri Venkateshwaraa
Padmavathy Engineering College (Autonomous), Medavakkam -
Mambakkam Road,
Ponmar, Kanchipuram, Chennai-600127.",1414
188.5,,190,,184.5,170.5,,,"ELECTRICAL AND ELECTRONICS
(SANDWICH) (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
188.5,,190,,187,167.5,144,,"Artificial
Intelligence and Data Science","Sri Krishna College of Engineering and
Technology
(Autonomous), Sugunapuram,
Kuniamuthur Post,
Coimbatore-641008.",2718
188.5,,190,,186,162.5,149,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Sri Krishna College of Engineering and
Technology
(Autonomous), Sugunapuram,
Kuniamuthur Post,
Coimbatore-641008.",2718
188,,191,,186,177,,,GEO INFORMATICS,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
188,,192,,189,174,,,INDUSTRIAL BIO TECHNOLOGY,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,2
188,,191.5,,185.5,169,159.5,,"COMPUTER
SCIENCE AND ENGINEERING","Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar,
Thandalam,
Kanchipuram, Chennai- 602105.",1211
188,,190.5,,186,169,153,,"COMPUTER
SCIENCE AND ENGINEERING","Sri Venkateswara College of Engineering
(Autonomous), Post Bag No.3, Pennalur,
Sriperumbudur,
Kanchipuram-602105.",1219
,,,,,,,,,,
188,,189,,185.5,166.26,,,"Electronics
Engineering (VLSI Design and Technology)","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
188,,190.5,,189,173.5,160,,ELECTRONICS AND INSTRUMENTATION ENGINEERING,"Government College of Technology (Autonomous)
Thadagam Road
Coimbatore District 641013",2005
188,,190,,185.5,162,144,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","Kumaraguru College of Technology
(Autonomous),
Chinnavedampatti, Coimbatore-641049.",2712
188,,189.5,,186,160.5,149.5,,INFORMATION TECHNOLOGY,"Sri Krishna College of Engineering and
Technology
(Autonomous), Sugunapuram,
Kuniamuthur Post,
Coimbatore-641008.",2718
188,,191,,181,156,155,,"COMPUTER
SCIENCE AND ENGINEERING","Sri Eshwar College of Engineering
(Autonomous), Kondampatti Post, Vadasithur Via,
Coimbatore-641202.",2739
188,,192,,186,183,154.5,,"COMPUTER
SCIENCE AND ENGINEERING",Government College of Engineering Tirunelveli District 627007,4974
188,,189.5,,188,178.5,,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Alagappa Chettair
Government College of Engineering and
Technology (Autonomous) Karaikudi Sivagangai District 630004",5901
187.5,,190.5,,187.5,168.5,158,,"CHEMICAL
ENGINEERING","Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
,,,,,,,,,,
187.5,,189,,185,167.92,124,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","Chennai Institute of Technology
(Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069",1399
